Field1,DEM,ppt_inches,tmax_c,tmean_c,tmin_c,soil
996,314.69,598.17,9.3283,3.40667,-2.515,"Percy loam, 0 to 2 percent slopes, very cobbly"
997,312.85,592.83,9.2117,3.29875,-2.61417,"Boash clay loam, dense till, 0 to 2 percent slopes"
998,315.59,591.66,9.1533,3.24042,-2.6725,"Seelyeville muck, 0 to 1 percent slopes"
999,411.591,NA,NA,NA,NA,Canisteo clay loam
1000,414.62,774.98,12.8008,7.2925,1.78417,Nicollet-Crippin complex
1001,405.041,769.02,12.775,7.29625,1.8175,"Estherville sandy loam, 1 to 6 percent slopes"
1002,407.75,763.3,12.7433,7.25333,1.76333,"Canisteo-Glencoe, depressional complex, 0 to 2 percent slopes"
1003,404.479,753.64,12.7592,7.23375,1.70833,"Clarion loam, 2 to 6 percent slopes"
1004,389.857,739.95,12.7808,7.21875,1.65667,"Coland clay loam, 0 to 2 percent slopes, occasionally flooded"
1005,382.777,731.6,12.785,7.19083,1.59667,"Blue Earth mucky silty clay loam, depressional, 0 to 1 percent slopes"
1006,372.046,732.01,12.7967,7.21125,1.62583,"Clarion loam, 2 to 6 percent slopes"
1007,350.204,732.53,12.8575,7.21208,1.56667,"Coland clay loam, 0 to 2 percent slopes, occasionally flooded"
1008,322.711,731.8,12.9342,7.19792,1.46167,Oshawa silty clay loam
1009,326.2,730.8,12.9292,7.18417,1.43917,"Glencoe clay loam, depressional, 0 to 1 percent slopes"
1010,317.143,730.53,12.9317,7.17875,1.42583,Canisteo clay loam
1011,317.187,730.19,12.9125,7.21208,1.51167,"Normania loam, 1 to 3 percent slopes"
1012,319.733,729.14,12.8808,7.18917,1.4975,"Webster clay loam, 0 to 2 percent slopes"
1013,310.332,723.34,12.9108,7.19167,1.4725,Canisteo clay loam
1014,310.58,718.14,12.845,7.14083,1.43667,"Estherville loam, 2 to 6 percent slopes"
1015,325.388,717.53,12.6058,6.94958,1.29333,"Amiret-Swanlake complex, 2 to 6 percent slopes"
1016,323.836,716.2,12.5483,6.91167,1.275,"Harps-Seaforth-Okoboji, depressional, complex, 0 to 3 percent slopes"
1017,326.251,713.03,12.4483,6.86917,1.29,"Calco silty clay loam, 0 to 2 percent slopes, occasionally flooded"
1018,334.95,719.6,12.425,6.855,1.285,"Seaforth silt loam, 1 to 3 percent slopes"
1019,337.241,719.53,12.405,6.82333,1.24167,"Normania loam, 2 to 5 percent slopes"
1020,334.619,724.84,12.3175,6.75625,1.195,Harps-Okoboji complex
1021,337.348,725.38,12.2217,6.63042,1.03917,"Okoboji-Canisteo silty clay loams, depressional"
1022,342.273,718.94,12.1825,6.60417,1.02583,"Okoboji-Canisteo silty clay loams, depressional"
1023,348.991,716.14,12.195,6.60333,1.01167,"Wadenill-Sunburg-Hawick complex, 2 to 6 percent slopes"
1024,374.143,714.83,12.1917,6.50083,0.81,Coriff-Fieldon complex
1025,374.59,710.24,11.9017,6.29875,0.69583,Water
1026,392.079,705.95,11.7875,6.19375,0.6,"Langhei-Barnes loams, 12 to 18 percent slopes, eroded"
1027,405.37,693.22,11.6533,6.10917,0.565,"Estherville loam, 2 to 6 percent slopes"
1028,409.328,675.82,11.6508,6.11542,0.58,"Estherville loam, 2 to 6 percent slopes"
1029,407.113,671.05,11.6167,6.08833,0.56,Water
1030,414.375,665.15,11.5533,6.05125,0.54917,Mayer loam
1031,424.781,660.13,11.1492,5.815,0.48083,"Arvilla sandy loam, 0 to 2 percent slopes"
1032,423.785,652,10.9242,5.5825,0.24083,"Gonvick loam, 1 to 3 percent slopes"
1033,420.735,649.59,10.9417,5.54333,0.145,Quam mucky silty clay loam
1034,422.294,658.59,10.9492,5.50542,0.06167,"Nymore loamy sand, 6 to 18 percent slopes"
1035,432.21,664.76,10.8033,5.34292,-0.1175,Urness mucky silty clay loam
1036,448.76,664.45,10.6125,5.17125,-0.27,"Dorset-Corliss complex, 1 to 6 percent slopes"
1037,453.107,663.53,10.5542,5.0275,-0.49917,"Dorset-Corliss complex, 6 to 12 percent slopes"
1038,456.073,661.45,10.4158,4.82333,-0.76917,"Snellman-Lida complex, 15 to 30 percent slopes"
1039,430.665,660.94,10.6033,4.99667,-0.61,Oylen sandy loam
1040,423.764,655.94,10.8125,5.10792,-0.59667,"Kandota sandy loam, 2 to 6 percent slopes"
1041,437.159,649.14,10.8083,5.06167,-0.685,"Kandota sandy loam, 2 to 6 percent slopes"
1042,423.826,649.63,10.6983,4.98292,-0.7325,"Bemidji loamy sand, moderately permeable"
1043,427.444,652.82,10.5925,4.8725,-0.8475,"Kandota sandy loam, 2 to 6 percent slopes"
1044,451.63,655.69,10.4425,4.69542,-1.05167,"Lida-Two Inlets complex, 1 to 8 percent slopes"
1045,454.617,656.27,10.3392,4.55833,-1.2225,"Eagleview-Snellman complex, 8 to 15 percent slopes"
1046,462.157,654.93,10.3233,4.56083,-1.20167,"Haslie, Seelyeville, and Cathro soils, ponded"
1047,471.269,652.79,10.315,4.58292,-1.14917,Water
1048,456.569,652.35,10.3442,4.59917,-1.14583,Water
1049,469.968,652.3,10.2858,4.49333,-1.29917,"Snellman-Sugarbush complex, 8 to 15 percent slopes"
1050,471.182,652.4,10.18,4.34875,-1.4825,"Snellman-Sugarbush complex, 2 to 8 percent slopes"
1051,530.088,652.17,9.935,4.15167,-1.63167,"Two Inlets-Sugarbush complex, 15 to 30 percent slopes"
1052,464.42,650.6,10.115,4.37833,-1.35833,"Sugarbush sandy loam, 1 to 8 percent slopes"
1053,469.594,649.05,10.0008,4.25375,-1.49333,"Naytahwaush loam, 2 to 8 percent slopes"
1054,440.847,641.27,9.9567,4.18417,-1.58833,Cathro muck
1055,419.268,634.05,9.9242,4.06708,-1.79,"Haslie, Seelyeville, and Cathro soils, ponded"
1056,403.108,631.59,9.885,4.04583,-1.79333,Roliss loam
1057,395.1,627.65,9.8783,4.01833,-1.84167,Hedman-Fram complex
1058,390.163,617.5,9.9125,4.04583,-1.82083,Hedman loam
1059,383.17,613.77,9.9858,4.10083,-1.78417,"Marquette loamy sand, 8 to 30 percent slopes"
1060,350.957,613.1,10.0167,4.1475,-1.72167,"Kratka fine sandy loam, 0 to 2 percent slopes"
1061,354.144,609.52,9.9608,4.06917,-1.8225,"Smiley loam, 0 to 2 percent slopes"
1062,352.278,600.79,9.8817,4.01292,-1.85583,"Hamre muck, 0 to 1 percent slopes"
1063,353.527,595.58,9.8508,3.97792,-1.895,"Kratka fine sandy loam, 0 to 2 percent slopes"
1064,356.75,590.22,9.8,3.89583,-2.00833,"Smiley loam, 0 to 2 percent slopes"
1065,354.26,596.14,9.715,3.74292,-2.22917,"Smiley loam, 0 to 2 percent slopes"
1066,350.4,606.93,9.7033,3.71125,-2.28083,"Smiley loam, 0 to 2 percent slopes"
1067,349.4,603.29,9.745,3.75458,-2.23583,"Hamre muck, 0 to 1 percent slopes"
1068,350.57,609.48,9.6783,3.67208,-2.33417,"Roliss loam, 0 to 2 percent slopes"
1069,354.39,619.57,9.6475,3.61417,-2.41917,Water
1070,361.03,627.67,9.5817,3.55875,-2.46417,"Grygla loamy fine sand, 0 to 2 percent slopes"
1071,349.34,625.43,9.64,3.55542,-2.52917,"Percy mucky loam, 0 to 1 percent slopes"
1072,339.2,610.75,9.5533,3.50458,-2.54417,"Percy loam, 0 to 2 percent slopes, very cobbly"
1073,330.28,605.55,9.4883,3.47333,-2.54167,"Northwood muck, dense till, 0 to 1 percent slopes"
1074,319.67,598.8,9.3525,3.42167,-2.50917,"Strandquist loam, dense till, 0 to 2 percent slopes"
1075,313.94,591.74,9.2083,3.29083,-2.62667,"Grano clay, 0 to 2 percent slopes"
1076,322.74,NA,NA,NA,NA,"Espelie fine sandy loam, 0 to 2 percent slopes"
1077,392.983,NA,NA,NA,NA,"Canisteo-Glencoe, depressional complex, 0 to 2 percent slopes"
1078,395.387,779.04,12.8942,7.4,1.90583,"Clarion-Swanlake loams, 2 to 6 percent slopes"
1079,390.181,771.7,12.8367,7.36875,1.90083,Canisteo clay loam
1080,377.661,764.21,12.865,7.38,1.895,Delft loam
1081,384.521,756.21,12.8133,7.30042,1.7875,"Canisteo-Glencoe, depressional complex, 0 to 2 percent slopes"
1082,374.674,741.39,12.8167,7.26167,1.70667,Delft loam
1083,365.314,735.46,12.8442,7.26958,1.695,"Nicollet clay loam, 1 to 3 percent slopes"
1084,350.478,734.47,12.8483,7.2625,1.67667,"Clarion loam, 2 to 6 percent slopes"
1085,338.413,734.06,12.9175,7.30417,1.69083,Canisteo clay loam
1086,321.087,733.2,12.9708,7.28875,1.60667,"Lemond loam, gravelly substratum"
1087,308.401,732.43,12.9225,7.18583,1.44917,"Dickman sandy loam, 0 to 2 percent slopes"
1088,314.246,734.47,12.9042,7.18417,1.46417,Canisteo clay loam
1089,314.96,739.71,12.8817,7.2225,1.56333,"Normania loam, 1 to 3 percent slopes"
1090,310.609,741.42,12.885,7.23417,1.58333,"Okoboji silty clay loam, depressional, 0 to 1 percent slopes"
1091,248.47,736.75,12.9608,7.3575,1.75417,Water
1092,311.93,725.78,12.7625,7.10417,1.44583,"Okoboji mucky silty clay loam, depressional, 0 to 1 percent slopes"
1093,324.775,720.27,12.6033,6.95042,1.2975,"Canisteo-Glencoe, depressional complex, 0 to 2 percent slopes"
1094,333.518,721.65,12.5158,6.91083,1.30583,"Webster clay loam, 0 to 2 percent slopes"
1095,327.668,722.65,12.5067,6.91083,1.315,"Lemond loam, 0 to 2 percent slopes"
1096,339.16,726.76,12.4383,6.855,1.27167,"Harps clay loam, 0 to 2 percent slopes"
1097,342.322,733.7,12.3425,6.76333,1.18417,"Normania loam, 1 to 3 percent slopes"
1098,337.286,734.26,12.285,6.72458,1.16417,"Okoboji-Canisteo silty clay loams, depressional"
1099,339.198,732.85,12.2225,6.6475,1.0725,Coriff-Fieldon complex
1100,353.526,734.68,12.1617,6.60042,1.03917,"Sunburg-Wadenill complex, 6 to 12 percent slopes, moderately eroded"
1101,341.18,729,12.16,6.55333,0.94667,Water
1102,380.992,734.35,12.2933,6.60667,0.92,"Wadenill-Sunburg complex, 2 to 6 percent slopes"
1103,379.634,728.27,12.0117,6.42125,0.83083,Houghton muck
1104,388.349,706.19,11.8292,6.26917,0.70917,"Histosols and Haplaquolls, ponded"
1105,396.474,698.69,11.7783,6.21083,0.64333,Regal loam
1106,409.805,685.54,11.6983,6.15208,0.60583,Canisteo loam
1107,408.624,673.27,11.6158,6.11583,0.61583,Glencoe silty clay loam
1108,407.018,671.67,11.5733,6.09,0.60667,"Estherville loam, 0 to 2 percent slopes"
1109,415.875,664.54,11.4233,6.01292,0.6025,"Nicollet clay loam, 1 to 4 percent slopes"
1110,420.88,658.97,11.0708,5.64167,0.2125,"Clarion loam, 2 to 6 percent slopes, eroded"
1111,408.472,663.82,11.1375,5.59042,0.04333,Seelyeville muck
1112,411.552,664.16,11.1083,5.56458,0.02083,"Forada loam, depressional"
1113,433.681,668.54,10.86,5.34875,-0.1625,Forada sandy loam
1114,437.165,667.98,10.7217,5.1725,-0.37667,Pinelake sandy loam
1115,437.69,666.13,10.5983,5.04875,-0.50083,Bluffcreek-Epoufette complex
1116,435.692,665.81,10.445,4.82833,-0.78833,Nidaros muck
1117,428.594,666.25,10.3458,4.71625,-0.91333,"Kratka sandy loam, thick solum, depressional"
1118,400.743,657.71,10.5033,4.83583,-0.83167,"Nidaros muck, frequently flooded"
1119,426.71,647.24,10.495,4.76667,-0.96167,"Brandsvold fine sandy loam, thick solum"
1120,431.879,647.79,10.5,4.72625,-1.0475,Seelyeville muck
1121,451.658,655.49,10.4042,4.61417,-1.17583,"Naytahwaush-Mahkonce complex, 1 to 8 percent slopes"
1122,452.405,657.36,10.3458,4.55917,-1.2275,"Verndale sandy loam, 2 to 6 percent slopes"
1123,466.268,658.18,10.265,4.4775,-1.31,Beltrami loam
1124,491.873,658.84,10.1117,4.30458,-1.5025,"Snellman sandy loam, 8 to 15 percent slopes"
1125,463.295,659.14,10.1833,4.37708,-1.42917,Water
1126,472.775,658.12,10.225,4.43792,-1.34917,"Dorset sandy loam, 2 to 6 percent slopes"
1127,489.036,658.49,10.13,4.23042,-1.66917,Rifle mucky peat
1128,479.284,656.28,10.08,4.14583,-1.78833,"Lindaas silty clay loam, morainic"
1129,583.241,656.07,9.8883,3.83875,-2.21083,"Snellman-Sugarbush complex, 15 to 30 percent slopes"
1130,504.492,651.65,10.1667,4.14958,-1.8675,"Snellman-Sugarbush complex, 8 to 15 percent slopes"
1131,453.004,647.74,10.1642,4.33625,-1.49167,"Sugarbush loamy sand, 1 to 8 percent slopes"
1132,453.914,643.88,10.1708,4.2775,-1.61583,Mahkonce loam
1133,452.365,632.75,9.8342,3.93125,-1.97167,"Sugarbush loamy sand, 15 to 30 percent slopes"
1134,441.526,625.35,9.9392,4.00292,-1.93333,"Naytahwaush loam, 2 to 8 percent slopes"
1135,411.55,622.14,9.9458,4.05542,-1.835,"Waukon loam, 2 to 6 percent slopes"
1136,396.397,615.55,9.9133,4.00958,-1.89417,"Chapett fine sandy loam, 12 to 20 percent slopes, eroded"
1137,366.867,613.05,9.955,4.09375,-1.7675,"Seelyeville muck, calcareous, 0 to 1 percent slopes"
1138,354.889,610.08,9.9633,4.10375,-1.75583,"Reiner fine sandy loam, 0 to 3 percent slopes"
1139,353.796,609.97,9.9475,4.06167,-1.82417,"Roliss loam, depressional"
1140,355.532,608.04,9.8775,3.97,-1.9375,"Reiner fine sandy loam, 0 to 3 percent slopes"
1141,357.011,596.29,9.7983,3.86583,-2.06667,"Reiner fine sandy loam, 0 to 3 percent slopes"
1142,357.65,594.78,9.7783,3.83917,-2.1,"Smiley loam, 0 to 2 percent slopes"
1143,355.37,600.94,9.7117,3.77,-2.17167,"Cathro muck, 0 to 1 percent slopes"
1144,354.28,609.59,9.6125,3.61667,-2.37917,"Roliss loam, 0 to 2 percent slopes"
1145,354.9,613.11,9.6158,3.61792,-2.38,"Smiley loam, 0 to 2 percent slopes"
1146,358.71,613.88,9.635,3.63792,-2.35917,"Smiley loam, 0 to 2 percent slopes"
1147,357.46,615.49,9.6608,3.64042,-2.38,Grimstad fine sandy loam
1148,351.46,613.88,9.7083,3.56667,-2.575,"Deerwood muck, 0 to 1 percent slopes"
1149,349.43,614.4,9.6925,3.56458,-2.56333,"Northwood muck, 0 to 1 percent slopes"
1150,346.36,610.78,9.6167,3.49958,-2.6175,"Percy loam, 0 to 2 percent slopes, very cobbly"
1151,335.44,601.68,9.4475,3.465,-2.5175,"Percy loam, 0 to 2 percent slopes, very cobbly"
1152,324.65,597.59,9.3917,3.43417,-2.52333,"Percy loam, 0 to 2 percent slopes, very cobbly"
1153,315.15,595.99,9.255,3.35625,-2.5425,"Lallie mucky silt loam, map 18-22, 0 to 1 percent slopes"
1154,320.73,NA,NA,NA,NA,"Seelyeville muck, 0 to 1 percent slopes"
1155,384.775,791.08,12.995,7.5225,2.05,"Clarion loam, 2 to 6 percent slopes"
1156,384.186,791.06,12.9608,7.50167,2.0425,"Canisteo-Glencoe, depressional complex, 0 to 2 percent slopes"
1157,375.598,777.62,12.8925,7.42792,1.96333,"Clarion-Storden loams, 6 to 12 percent slopes, eroded"
1158,362.612,766.48,12.9208,7.44708,1.97333,Delft loam
1159,372.197,754.15,12.865,7.33583,1.80667,Nicollet-Crippin complex
1160,347.176,744.58,12.8583,7.3125,1.76667,"Coland clay loam, occasionally flooded"
1161,340.63,741.39,12.8917,7.33792,1.78417,"Glencoe clay loam, depressional, 0 to 1 percent slopes"
1162,329.233,737.18,12.9425,7.38458,1.82667,Delft loam
1163,322.621,732.85,12.9475,7.36875,1.79,"Ves loam, 1 to 4 percent slopes"
1164,311.496,731.11,13.0067,7.3525,1.69833,Hoopeston sandy loam
1165,301.555,733.05,12.9683,7.33875,1.70917,Water
1166,310.636,734.12,12.8608,7.22542,1.59,"Normania loam, 1 to 3 percent slopes"
1167,311.013,734.28,12.8558,7.22,1.58417,"Nicollet clay loam, 1 to 3 percent slopes"
1168,286.271,736.56,12.9925,7.47667,1.96083,"Dickinson sandy loam, 2 to 6 percent slopes"
1169,308.963,735.24,12.7642,7.15458,1.545,"Canisteo-Glencoe, depressional complex, 0 to 2 percent slopes"
1170,318.605,730.36,12.7242,7.09917,1.47417,"Canisteo-Glencoe, depressional complex, 0 to 2 percent slopes"
1171,328.586,727.2,12.6108,6.98958,1.36833,"Webster clay loam, 0 to 2 percent slopes"
1172,327.214,725.13,12.5383,6.94583,1.35333,"Blue Earth mucky silt loam, 0 to 1 percent slopes"
1173,338.589,726.09,12.5275,6.93333,1.33917,"Corvuso-Lura, depressional, firm substratum complex, 0 to 2 percent slopes"
1174,339.335,729.45,12.4892,6.9025,1.31583,"Nicollet silty clay loam, 1 to 3 percent slopes"
1175,336.333,734.5,12.3492,6.78833,1.2275,Harpster silty clay loam
1176,337.384,733.83,12.28,6.75,1.22,"Aquolls and Histosols, ponded"
1177,360.032,734.72,12.2617,6.71208,1.1625,"Normania loam, 2 to 5 percent slopes"
1178,359.214,739.05,12.2217,6.6175,1.01333,"Blue Earth, Houghton, and Klossner soils, ponded, firm substratum, 0 to 1 percent slopes"
1179,382.187,762.49,12.2925,6.6675,1.0425,"Koronis-Sunburg complex, 12 to 18 percent slopes, moderately eroded"
1180,369.061,768.58,12.2967,6.63417,0.97167,"Hawick-Estherville complex, 6 to 12 percent slopes"
1181,372.367,750.95,12.175,6.54125,0.9075,Houghton muck
1182,387.016,718.29,11.9308,6.34458,0.75833,Osakis loam
1183,388.615,697.98,11.7983,6.21625,0.63417,Regal loam
1184,402.537,692.25,11.7292,6.1725,0.61583,Glencoe muck
1185,412.173,684.55,11.6367,6.11833,0.6,"Ves-Estherville complex, 2 to 6 percent slopes"
1186,401.308,674.05,11.6567,6.10375,0.55083,Flom loam
1187,408.626,666.14,11.5575,6.05625,0.555,Roliss loam
1188,408.305,659.74,11.4133,5.83458,0.25583,Flom loam
1189,408.686,675.72,11.2275,5.64958,0.07167,Gonvick loam
1190,426.818,682.31,11.18,5.58458,-0.01083,Flom loam
1191,448.304,679.01,10.8942,5.34458,-0.205,Wykeham fine sandy loam
1192,442.771,669.35,10.725,5.1425,-0.44,"Bluffton loam, moderately permeable"
1193,437.596,666.84,10.5375,4.91917,-0.69917,"Paddock-Becida, stony, complex, 0 to 3 percent slopes"
1194,431.799,669.12,10.4017,4.79833,-0.805,"Verndale sandy loam, 0 to 2 percent slopes"
1195,421.598,674.8,10.3008,4.67417,-0.9525,Oylen sandy loam
1196,414.958,667.31,10.4167,4.74458,-0.9275,"Paddock-Becida, stony, complex, 0 to 3 percent slopes"
1197,426.364,653.91,10.39,4.66708,-1.05583,"Runeberg mucky loam, depressional"
1198,440.026,651.85,10.4025,4.58833,-1.22583,"Blowers soils, 1 to 5 percent slopes"
1199,443.506,658.55,10.3925,4.60958,-1.17333,Epoufette sandy loam
1200,461.569,660.53,10.265,4.50875,-1.2475,"Paddock-Becida, stony, complex, 0 to 3 percent slopes"
1201,471.779,660.91,10.215,4.45083,-1.31333,"Snellman-Sugarbush complex, 2 to 8 percent slopes"
1202,493.396,660.99,10.0183,4.17083,-1.67667,"Snellman-Sugarbush complex, 8 to 15 percent slopes"
1203,461.023,662.53,10.215,4.3925,-1.43,"Bootlake-Graycalm complex, 2 to 8 percent slopes"
1204,474.987,663.82,10.2017,4.36208,-1.4775,"Verndale sandy loam, 2 to 6 percent slopes"
1205,480.841,663.1,10.2042,4.26708,-1.67,"Sugarbush-Two Inlets complex, 8 to 15 percent slopes"
1206,504.523,664.14,10.1633,4.05375,-2.05583,"Sol-Sugarbush complex, 2 to 8 percent slopes, very stony"
1207,499.235,663.74,10.1308,3.90208,-2.32667,"Two Inlets-Sugarbush complex, 15 to 30 percent slopes"
1208,450.392,653.77,10.175,4.18417,-1.80667,Haslie muck
1209,482.412,648.26,10.1883,4.09333,-2.00167,"Snellman sandy loam, 2 to 8 percent slopes"
1210,455.316,641.79,10.1508,4.12125,-1.90833,Mahkonce loam
1211,454.623,639.27,10.0733,3.99458,-2.08417,"Lengby fine sandy loam, 8 to 15 percent slopes"
1212,463.083,631.99,10.0617,4.04833,-1.965,"Naytahwaush loam, 2 to 8 percent slopes"
1213,427.9,618.09,9.965,4.01625,-1.9325,"Naytahwaush loam, 8 to 15 percent slopes"
1214,387.463,614,9.915,4.01917,-1.87667,"Waukon loam, 2 to 6 percent slopes"
1215,362.149,611.73,9.9525,4.11458,-1.72333,"Radium loamy sand, 0 to 3 percent slopes"
1216,356.036,611.73,9.9308,4.08417,-1.7625,Cathro muck
1217,356.087,612.64,9.8708,3.99917,-1.8725,"Cathro muck, depressional, des moines, 0 to 1 percent slopes"
1218,357.641,610.78,9.85,3.94583,-1.95833,Mooselake and Lupton soils
1219,359.18,602.01,9.8075,3.87,-2.0675,"Cathro muck, depressional, des moines, 0 to 1 percent slopes"
1220,361.02,599.63,9.77,3.81375,-2.1425,"Smiley loam, 0 to 2 percent slopes"
1221,360.41,599.58,9.7433,3.79125,-2.16083,"Smiley loam, 0 to 2 percent slopes"
1222,358.11,601.43,9.7017,3.71958,-2.2625,"Roliss loam, 0 to 2 percent slopes"
1223,361.39,612.15,9.645,3.63375,-2.3775,"Smiley loam, 0 to 2 percent slopes"
1224,360.01,618.79,9.6292,3.61542,-2.39833,"Rifle mucky peat, 0 to 1 percent slopes"
1225,365.85,617.58,9.64,3.60708,-2.42583,"Kratka and Strathcona soils, dense till, 0 to 1 percent slopes"
1226,354.65,612.95,9.7342,3.56667,-2.60083,"Redby loamy fine sand, 0 to 3 percent slopes"
1227,339.71,611.84,9.6933,3.56792,-2.5575,"Garnes fine sandy loam, dense till, 0 to 3 percent slopes, very stony"
1228,326.05,610.64,9.6258,3.54667,-2.5325,"Fluvaquents,frequently flooded-Hapludolls complex, 0 to 30 percent slopes"
1229,322.42,602.01,9.475,3.5275,-2.42,"Augsburg loam, dense till, 0 to 2 percent slopes"
1230,318.28,597.12,9.3867,3.46583,-2.455,"Colvin silty clay loam, 0 to 2 percent slopes"
1231,315.6,601.01,9.3092,3.41458,-2.48,"Wabanica silt loam, 0 to 2 percent slopes"
1232,338.32,NA,NA,NA,NA,NA
1233,379.668,NA,NA,NA,NA,NA
1234,381.083,802.65,13.0492,7.63417,2.21917,"Canisteo-Glencoe, depressional complex, 0 to 2 percent slopes"
1235,380.992,802.96,12.9008,7.48375,2.06667,"Webster clay loam, 0 to 2 percent slopes"
1236,370.507,800.07,12.9017,7.48708,2.0725,Nicollet-Crippin complex
1237,366.879,781.48,12.9317,7.48792,2.04417,"Canisteo-Glencoe, depressional complex, 0 to 2 percent slopes"
1238,352.092,761.17,12.9217,7.42833,1.935,Crippin loam
1239,338.926,755.63,12.9125,7.37583,1.83917,"Nicollet clay loam, 1 to 3 percent slopes"
1240,327.975,750.28,12.9267,7.38917,1.85167,Webster clay loam
1241,317.397,742.45,12.975,7.42458,1.87417,"Grogan silt loam, 2 to 6 percent slopes"
1242,316.639,727.21,12.9867,7.40792,1.82917,"Nicollet clay loam, 1 to 3 percent slopes"
1243,312.559,725.4,12.9958,7.35833,1.72083,"Clarion-Storden loams, 3 to 6 percent slopes, eroded"
1244,311.067,731.74,12.96,7.33667,1.71333,"Nicollet clay loam, 1 to 3 percent slopes"
1245,309.797,732.16,12.8358,7.23792,1.64,"Webster clay loam, 0 to 2 percent slopes"
1246,298.932,727.77,12.8358,7.23917,1.6425,"Clarion-Terril loams, 25 to 50 percent slopes"
1247,307.122,727.94,12.8142,7.25125,1.68833,"Clarion-Storden-Hawick complex, 2 to 6 percent slopes"
1248,316.48,732.16,12.67,7.0725,1.475,"Harps clay loam, 0 to 2 percent slopes"
1249,325.918,732.96,12.6192,7.00208,1.385,"Harps clay loam, 0 to 2 percent slopes"
1250,331.763,732.47,12.5667,6.96958,1.3725,"Okoboji-Canisteo complex, depressional, 0 to 1 percent slopes"
1251,330.645,732.23,12.56,6.97583,1.39167,"Webster clay loam, 0 to 2 percent slopes"
1252,339.6,730.96,12.5142,6.92,1.32583,"Cosmos silty clay, 0 to 2 percent slopes"
1253,344.915,730.97,12.465,6.89458,1.32417,"Nicollet silty clay loam, 0 to 2 percent slopes"
1254,338.066,732.2,12.3467,6.80375,1.26083,Canisteo-Seaforth complex
1255,346.304,734.01,12.2908,6.7525,1.21417,"Normania loam, 2 to 5 percent slopes"
1256,356.704,736.22,12.2408,6.655,1.06917,Glencoe clay loam
1257,357.42,738.61,12.265,6.68083,1.09667,Water
1258,358.795,760.96,12.3133,6.72292,1.1325,"Hawick-Estherville complex, 6 to 12 percent slopes"
1259,368.96,767.63,12.2,6.53083,0.86167,Water
1260,373.97,754.3,12.1583,6.48958,0.82083,"Estherville-Hawick complex, 2 to 6 percent slopes"
1261,375.736,722.98,11.9617,6.35667,0.75167,Regal loam
1262,395.623,704.62,11.835,6.24,0.645,"Normania loam, 1 to 3 percent slopes"
1263,390.177,694.24,11.8033,6.18333,0.56333,Cathro muck
1264,391.006,689.3,11.8083,6.17458,0.54083,"Ves loam, 2 to 6 percent slopes"
1265,376.224,684.24,11.8742,6.15208,0.43,Biscay loam
1266,382.713,665.08,11.6175,6.00958,0.40167,Water
1267,405.581,666.81,11.4817,5.86083,0.24,Flom loam
1268,414.724,690.25,11.3567,5.71875,0.08083,Forada sandy loam
1269,416.837,692.03,11.1183,5.50667,-0.105,"Huntersville loamy sand, 1 to 4 percent slopes"
1270,429.939,686.59,11.0125,5.42542,-0.16167,Wykeham fine sandy loam
1271,440.278,670.17,10.7967,5.19792,-0.40083,"Rockwood soils, 2 to 6 percent slopes"
1272,425.021,663.52,10.5875,4.93875,-0.71,"Runeberg sandy loam, depressional"
1273,420.201,668.3,10.4867,4.79917,-0.88833,"Dorset sandy loam, 2 to 6 percent slopes"
1274,417.813,671.87,10.465,4.76875,-0.9275,"Dorset sandy loam, 1 to 3 percent slopes"
1275,402.238,670.76,10.4325,4.72458,-0.98333,Seelyeville muck
1276,430.353,659.56,10.2883,4.54333,-1.20167,"Blowers soils, 1 to 5 percent slopes"
1277,431.965,655.71,10.36,4.61583,-1.12833,Seelyeville muck
1278,435.282,661.01,10.3983,4.6225,-1.15333,Cathro muck
1279,444.418,663.6,10.3992,4.61625,-1.16667,"Blowers soils, 1 to 5 percent slopes"
1280,437.51,662.69,10.3708,4.56417,-1.2425,Nidaros muck
1281,447.678,662.25,10.3558,4.53875,-1.27833,"Verndale sandy loam, 0 to 2 percent slopes"
1282,465.663,663.05,10.3083,4.42458,-1.45917,"Sugarbush-Two Inlets complex, 1 to 8 percent slopes"
1283,465.205,668.14,10.1792,4.27125,-1.63667,"Sol-Sugarbush complex, 8 to 15 percent slopes, very stony"
1284,472.135,670.16,10.1667,4.1975,-1.77167,Mooselake and Lupton soils
1285,501.421,673.59,10.1183,3.87292,-2.3725,"Sol-Sugarbush complex, 8 to 15 percent slopes, very stony"
1286,506.5,673.79,10.135,3.95833,-2.21833,"Sol-Sugarbush complex, 8 to 15 percent slopes, very stony"
1287,488.269,666.42,10.1675,4.03292,-2.10167,"Lengby fine sandy loam, 2 to 8 percent slopes"
1288,465.526,651,10.1675,4.12458,-1.91833,"Snellman sandy loam, 8 to 15 percent slopes"
1289,473.162,645.25,10.1867,4.17542,-1.83583,"Nebish loam, 2 to 8 percent slopes"
1290,455.034,641.55,10.1292,4.15375,-1.82167,Nary fine sandy loam
1291,457.837,637.77,10.0508,4.035,-1.98083,"Moosecreek fine sandy loam, 2 to 8 percent slopes"
1292,438.569,627.28,9.9933,3.97667,-2.04,"Naytahwaush loam, 2 to 8 percent slopes"
1293,381.115,615.14,9.9275,4.08,-1.7675,Smiley loam
1294,367.143,614.91,9.8725,4.0475,-1.7775,"Radium loamy sand, 0 to 3 percent slopes"
